,sample,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,press_0,press_1,press_2,press_3,press_4,press_5,cop_x_r,cop_y_r,cop_x_l,cop_y_l,cop_x_all,cop_y_all
2676,26770,328,922,954,343,977,806,30.8774,2.93031,1.93475,28.8898,1.25947,7.20192,0.313113,-5.48072,0.268099,-4.35006,0.236047,-0.639676
2677,26780,328,923,954,343,976,807,30.8774,2.89816,1.93475,28.8898,1.28817,7.15985,0.311222,-5.49193,0.262135,-4.35103,0.230915,-0.647232
2678,26790,328,923,956,343,973,806,30.8774,2.89816,1.87474,28.8898,1.37461,7.20192,0.316197,-5.50615,0.259398,-4.32003,0.21164,-0.637742
2679,26800,329,923,954,342,975,806,30.7392,2.89816,1.93475,29.0169,1.31692,7.20192,0.311268,-5.48533,0.261289,-4.34193,0.192876,-0.636606
2680,26810,328,922,954,343,975,806,30.8774,2.93031,1.93475,28.8898,1.31692,7.20192,0.313113,-5.48072,0.263508,-4.33102,0.228007,-0.631397
2681,26820,328,923,954,342,974,807,30.8774,2.89816,1.93475,29.0169,1.34574,7.15985,0.311222,-5.49193,0.255356,-4.34286,0.208068,-0.643891
2682,26830,327,923,954,342,977,807,31.0164,2.89816,1.93475,29.0169,1.25947,7.15985,0.311176,-5.49852,0.2622,-4.37136,0.236191,-0.660772
2683,26840,327,923,954,343,980,807,31.0164,2.89816,1.93475,28.8898,1.17372,7.15985,0.311176,-5.49852,0.271299,-4.38912,0.263047,-0.668226
2684,26850,327,923,955,341,975,807,31.0164,2.89816,1.90471,29.1447,1.31692,7.15985,0.313656,-5.50561,0.255675,-4.36725,0.211336,-0.662425
2685,26860,327,923,954,342,975,807,31.0164,2.89816,1.93475,29.0169,1.31692,7.15985,0.311176,-5.49852,0.257638,-4.35236,0.228172,-0.652499
2686,26870,326,923,955,342,975,806,31.1562,2.89816,1.90471,29.0169,1.31692,7.20192,0.3136,-5.51216,0.261532,-4.34597,0.239136,-0.654975
2687,26880,326,923,954,341,977,806,31.1562,2.89816,1.93475,29.1447,1.25947,7.20192,0.31113,-5.5051,0.263621,-4.37174,0.234282,-0.663196
2688,26890,324,923,955,341,972,808,31.4385,2.89816,1.90471,29.1447,1.40355,7.11788,0.313488,-5.52521,0.245232,-4.34912,0.250979,-0.670302
2689,26900,326,923,954,341,981,806,31.1562,2.89816,1.93475,29.1447,1.14526,7.20192,0.31113,-5.5051,0.272707,-4.40956,0.250189,-0.679614
2690,26910,325,923,955,341,980,807,31.2969,2.89816,1.90471,29.1447,1.17372,7.15985,0.313544,-5.51869,0.267032,-4.41466,0.263575,-0.691895
2691,26920,326,923,954,341,981,807,31.1562,2.89816,1.93475,29.1447,1.14526,7.15985,0.31113,-5.5051,0.269051,-4.42,0.253368,-0.686591
2692,26930,326,923,955,342,981,807,31.1562,2.89816,1.90471,29.0169,1.14526,7.15985,0.3136,-5.51216,0.271571,-4.41346,0.266302,-0.686679
2693,26940,325,922,955,341,981,807,31.2969,2.93031,1.90471,29.1447,1.14526,7.15985,0.31541,-5.50759,0.269302,-4.42413,0.271801,-0.691298
2694,26950,326,923,956,342,981,806,31.1562,2.89816,1.87474,29.0169,1.14526,7.20192,0.316064,-5.5192,0.275502,-4.40709,0.26113,-0.684667
